Institute for Global Health|Faculty of Population Health Sciences
Institute of Cardiovascular Science|Faculty of Population Health Sciences
Institute of Epidemiology & Health|Faculty of Population Health Sciences
Institute of Health Informatics|Faculty of Population Health Sciences
MRC Clinical Trials Unit at UCL|Faculty of Population Health Sciences
MRC Unit for Lifelong Hlth & Ageing|Faculty of Population Health Sciences
Primary Care & Population Health|Faculty of Population Health Sciences
UCL GOS Institute of Child Health|Faculty of Population Health Sciences
Applied Health Research|Faculty of Population Health Sciences
Behavioural Science and Health|Faculty of Population Health Sciences
Clinical Science|Faculty of Population Health Sciences
Inst of Clinical Trials &Methodology|Faculty of Population Health Sciences
Population Science & Experimental Medici|Faculty of Population Health Sciences
Dept of Anthropology|Faculty of Social & Historical Sciences
Dept of Economics|Faculty of Social & Historical Sciences
Dept of Geography|Faculty of Social & Historical Sciences
Dept of Political Science|Faculty of Social & Historical Sciences
Institute of Archaeology Gordon Square|Faculty of Social & Historical Sciences
Bartlett School Env, Energy & Resources|Faculty of the Built Environment
Centre for Advanced Spatial Analysis|Faculty of the Built Environment
STEaPP|Faculty of the Built Environment
IOE - Curriculum, Pedagogy & Assessment|Institute of Education
ISD Research IT Services|Professional Services
Joint Research Office|Professional Services
RITS Applications|Professional Services
RITS Computing|Professional Services
RITS Facilitation|Professional Services
RITS Software Development|Professional Services
RITS Training|Professional Services
Information Services Division|Professional Services
ISD Technology Services|Professional Services
ITSD IS Compute and Cloud Platform|Professional Services
None/Unknown|
University College London|
Arts and Sciences (BASc)|Faculty of Arts & Humanities
Children's Cardiovascular Disease|Faculty of Population Health Sciences
Children's Cardiovascular Disease|Faculty of Population Health Sciences
Department of Neuromuscular Diseases|Faculty of Brain Sciences
Department of Targeted Intervention|Faculty of Medical Sciences
ICH Development Bio & Cancer Prog|Faculty of Population Health Sciences
ICH Pop, Policy & Practice Prog|Faculty of Population Health Sciences
Institute for Materials Discovery|Faculty of Mathematics & Physical Sciences
Institute of Ophthalmology|Faculty of Brain Sciences
IOE - Social Science|UCL Institute of Education
ITSD IS Data Centre Services|Professional Services
SSEES|School of Slavonic and East European Studies
The Bartlett School of Architecture|Faculty of the Built Environment
The Sainsbury Wellcome Centre|Faculty of Life Sciences
UCL Institute of Prion Diseases|Faculty of Brain Sciences
UCL Institute of Prion Diseases Support|Faculty of Brain Sciences
UCL Queen Square Institute of Neurology|Faculty of Brain Sciences
UK Dementia Research Institute|Faculty of Brain Sciences
Women's Cancer|Faculty of Population Health Sciences
